iter	MultiClass
0	1.336951763
1	1.295837911
2	1.258578166
3	1.226499112
4	1.196201014
5	1.169612054
6	1.145689904
7	1.122926107
8	1.102220379
9	1.084205161
10	1.066077211
11	1.050194147
12	1.035257497
13	1.021242668
14	1.008159519
15	0.9962207818
16	0.9838930037
17	0.9731725925
18	0.9631655487
19	0.9530678762
20	0.9438660141
21	0.9351365561
22	0.9269658725
23	0.9188165752
24	0.911067677
25	0.9038705122
26	0.8974143812
27	0.8913509599
28	0.8850147348
29	0.8788387473
30	0.873366657
31	0.8680282685
32	0.8627317752
33	0.8577927342
34	0.8530857051
35	0.8489498619
36	0.8441827416
37	0.8402546814
38	0.8361868247
39	0.8320591547
40	0.8285743855
41	0.8248544564
42	0.821488509
43	0.8180068605
44	0.8147255868
45	0.8115478106
46	0.8081368474
47	0.8051722704
48	0.802103234
49	0.7996739837
50	0.7972717032
51	0.7945194151
52	0.7920276767
53	0.7895484233
54	0.7873828001
55	0.7850345274
56	0.7828830953
57	0.7809218398
58	0.778799272
59	0.7765073521
60	0.7744911355
61	0.7721548632
62	0.7702806271
63	0.7683648262
64	0.766440282
65	0.7644315275
66	0.7628771018
67	0.7611120497
68	0.7595809123
69	0.757652739
70	0.7562983275
71	0.754912448
72	0.7529241482
73	0.7517274276
74	0.7500891738
75	0.7485046212
76	0.7471180302
77	0.7455240897
78	0.7441930373
79	0.7429843372
80	0.7417405787
81	0.7404977738
82	0.739219669
83	0.7381783924
84	0.7370623119
85	0.7360078492
86	0.7348806935
87	0.7338734586
88	0.732775133
89	0.7317875191
90	0.7307079349
91	0.7296969617
92	0.7287290565
93	0.7276150838
94	0.7265185341
95	0.7255774054
96	0.7245177102
97	0.7236434687
98	0.7228872616
99	0.7220817859
100	0.7211061959
101	0.7202181591
102	0.7193461996
103	0.7184346029
104	0.7176171858
105	0.7167964199
106	0.7158568255
107	0.7149926286
108	0.7142124956
109	0.7132251406
110	0.7124817659
111	0.7117734771
112	0.7111375185
113	0.7105396414
114	0.7097657081
115	0.7090513347
116	0.708457095
117	0.7076751649
118	0.7071708734
119	0.7065772872
120	0.7057525341
121	0.7051465083
122	0.7045220214
123	0.7039962092
124	0.7034160813
125	0.7027494889
126	0.7022198956
127	0.7014879652
128	0.700796316
129	0.7001358105
130	0.699453431
131	0.6990145352
132	0.6984670977
133	0.697781013
134	0.6972931668
135	0.6966205824
136	0.6960809298
137	0.6953989767
138	0.6949871222
139	0.6945649473
140	0.6941717605
141	0.6935731113
142	0.6929606662
143	0.6922294096
144	0.6918525071
145	0.6911912899
146	0.6907041786
147	0.6902157324
148	0.6897701738
149	0.6893277566
150	0.6888992161
151	0.6883293862
152	0.6878764689
153	0.6875067931
154	0.6868878561
155	0.6863235095
156	0.6857261365
157	0.6851547583
158	0.6846789465
159	0.6843182731
160	0.683912297
161	0.6834675776
162	0.6831001048
163	0.6825948001
164	0.6822435586
165	0.6818307632
166	0.68145911
167	0.6810472954
168	0.680667373
169	0.6803562615
170	0.6800029001
171	0.6796237568
172	0.6791439622
173	0.6788233173
174	0.6783851814
175	0.6780518837
176	0.677673909
177	0.6772621167
178	0.6768336685
179	0.6764484747
180	0.6759954091
181	0.6756270248
182	0.6753432813
183	0.6749507328
184	0.6745111455
185	0.6741122759
186	0.6737866659
187	0.6734798655
188	0.6730880261
189	0.6728391295
190	0.6725160664
191	0.6721795345
192	0.6718555794
193	0.6714942533
194	0.6712136633
195	0.6707773546
196	0.6704149633
197	0.6699853901
198	0.6696977193
199	0.6693992136
