iter	Passed	Remaining
0	239	47626
1	302	29951
2	369	24257
3	434	21281
4	499	19498
5	567	18362
6	630	17379
7	696	16705
8	761	16156
9	829	15762
10	895	15389
11	962	15073
12	1027	14777
13	1091	14501
14	1153	14230
15	1215	13974
16	1277	13747
17	1340	13556
18	1401	13346
19	1460	13143
20	1521	12972
21	1585	12828
22	1644	12657
23	1699	12464
24	1760	12322
25	1820	12183
26	1883	12066
27	1948	11966
28	2010	11853
29	2075	11761
30	2136	11648
31	2194	11520
32	2254	11410
33	2313	11296
34	2375	11199
35	2434	11089
36	2497	11004
37	2557	10904
38	2622	10825
39	2686	10747
40	2738	10620
41	2798	10529
42	2857	10431
43	2917	10345
44	2983	10276
45	3045	10194
46	3115	10140
47	3182	10077
48	3241	9987
49	3294	9883
50	3345	9773
51	3403	9687
52	3469	9622
53	3524	9529
54	3581	9441
55	3638	9356
56	3706	9297
57	3760	9206
58	3826	9143
59	3887	9071
60	3952	9005
61	4019	8945
62	4082	8878
63	4148	8814
64	4201	8725
65	4264	8658
66	4322	8580
67	4397	8536
68	4459	8465
69	4526	8405
70	4582	8325
71	4651	8269
72	4715	8204
73	4774	8128
74	4844	8073
75	4919	8026
76	4997	7982
77	5060	7915
78	5114	7834
79	5179	7769
80	5243	7703
81	5310	7641
82	5369	7568
83	5431	7500
84	5498	7439
85	5568	7381
86	5634	7318
87	5704	7260
88	5777	7205
89	5840	7138
90	5901	7068
91	5966	7003
92	6036	6944
93	6102	6881
94	6172	6822
95	6242	6762
96	6304	6694
97	6360	6619
98	6421	6551
99	6483	6483
100	6550	6420
101	6624	6364
102	6688	6299
103	6761	6241
104	6821	6171
105	6885	6105
106	6949	6040
107	7017	5977
108	7082	5912
109	7142	5843
110	7205	5777
111	7269	5712
112	7328	5642
113	7392	5577
114	7455	5510
115	7518	5444
116	7581	5378
117	7645	5313
118	7706	5245
119	7777	5185
120	7846	5123
121	7909	5056
122	7974	4992
123	8034	4924
124	8107	4864
125	8173	4800
126	8237	4734
127	8304	4671
128	8379	4612
129	8443	4546
130	8503	4478
131	8562	4410
132	8633	4349
133	8707	4288
134	8773	4224
135	8835	4157
136	8903	4094
137	8970	4030
138	9032	3963
139	9097	3898
140	9157	3831
141	9221	3766
142	9281	3699
143	9338	3631
144	9393	3562
145	9452	3496
146	9516	3431
147	9578	3365
148	9637	3298
149	9699	3233
150	9760	3167
151	9818	3100
152	9871	3032
153	9932	2966
154	10004	2904
155	10064	2838
156	10129	2774
157	10190	2708
158	10252	2643
159	10308	2577
160	10365	2510
161	10420	2444
162	10478	2378
163	10534	2312
164	10602	2249
165	10664	2184
166	10724	2119
167	10786	2054
168	10843	1989
169	10897	1923
170	10960	1858
171	11017	1793
172	11078	1728
173	11141	1664
174	11203	1600
175	11272	1537
176	11328	1472
177	11388	1407
178	11443	1342
179	11497	1277
180	11555	1213
181	11607	1147
182	11659	1083
183	11714	1018
184	11774	954
185	11839	891
186	11905	827
187	11961	763
188	12024	699
189	12085	636
190	12140	572
191	12190	507
192	12247	444
193	12304	380
194	12377	317
195	12440	253
196	12499	190
197	12557	126
198	12615	63
199	12678	0
