date,city,plate_code,max_temp,min_temp,precipitation,wind_speed,weather_code,humidity,pressure,radiation,weather_desc
2002-12-31 21:00:00+00:00,TOKAT,60,5.0545,-2.6955,1.3000001,10.948973,73.0,87.83514,937.45514,6.35,Snow fall: Moderate
2003-01-01 21:00:00+00:00,TOKAT,60,6.2045,1.0545001,4.0,9.504273,73.0,89.936775,935.24976,5.97,Snow fall: Moderate
2003-01-02 21:00:00+00:00,TOKAT,60,7.3545003,-2.5955,0.5,14.458382,71.0,86.23306,934.6242,8.25,Snow fall: Slight
2003-01-03 21:00:00+00:00,TOKAT,60,7.4045,-0.1954999,11.0,11.901798,73.0,92.762474,932.48126,3.14,Snow fall: Moderate
2003-01-04 21:00:00+00:00,TOKAT,60,9.4045,-1.0454998,5.9,13.493999,71.0,89.6511,931.8828,6.45,Snow fall: Slight
2003-01-05 21:00:00+00:00,TOKAT,60,9.554501,2.2045002,5.0,11.659777,71.0,87.33428,933.9766,8.05,Snow fall: Slight
2003-01-06 21:00:00+00:00,TOKAT,60,12.804501,1.5545001,1.0,13.755579,53.0,83.89793,941.8514,8.42,Drizzle: Moderate
2003-01-07 21:00:00+00:00,TOKAT,60,12.754499,-0.09549999,0.0,13.281023,3.0,78.586174,938.5041,9.3,Overcast
2003-01-08 21:00:00+00:00,TOKAT,60,10.8545,-0.49549985,0.0,8.311245,3.0,82.59266,941.4104,6.27,Overcast
2003-01-09 21:00:00+00:00,TOKAT,60,11.9545,-1.2954998,0.0,13.32,3.0,80.36312,941.519,9.38,Overcast
2003-01-10 21:00:00+00:00,TOKAT,60,13.154501,-2.2954998,0.0,10.630672,3.0,77.977806,941.3379,8.19,Overcast
2003-01-11 21:00:00+00:00,TOKAT,60,9.054501,1.7045001,0.2,12.979984,51.0,76.28234,936.2829,5.72,Drizzle: Light
2003-01-12 21:00:00+00:00,TOKAT,60,6.2045,1.4545001,8.800001,9.3669195,73.0,93.435974,941.0922,1.94,Snow fall: Moderate
2003-01-13 21:00:00+00:00,TOKAT,60,2.6545,-1.3955,0.6,8.28,71.0,89.55651,942.5861,4.15,Snow fall: Slight
2003-01-14 21:00:00+00:00,TOKAT,60,2.8545,-1.9454999,1.2,12.849528,73.0,77.35523,944.7176,8.24,Snow fall: Moderate
2003-01-15 21:00:00+00:00,TOKAT,60,3.5045002,-0.5454998,1.9000002,6.9247384,71.0,84.07555,947.3433,4.18,Snow fall: Slight
2003-01-16 21:00:00+00:00,TOKAT,60,6.0045004,-2.2954998,0.4,8.311245,71.0,80.07624,945.0881,8.07,Snow fall: Slight
2003-01-17 21:00:00+00:00,TOKAT,60,2.8545,-0.5955,4.2999997,8.287822,73.0,93.473785,948.7326,5.95,Snow fall: Moderate
2003-01-18 21:00:00+00:00,TOKAT,60,5.7045,-5.1955,0.0,9.693296,3.0,79.5723,944.44434,10.92,Overcast
2003-01-19 21:00:00+00:00,TOKAT,60,5.2545004,-6.5954995,0.0,10.685391,3.0,73.99917,937.2759,11.21,Overcast
2003-01-20 21:00:00+00:00,TOKAT,60,6.8545003,-5.9955,0.0,10.685391,3.0,71.965294,937.68964,9.37,Overcast
2003-01-21 21:00:00+00:00,TOKAT,60,7.2545,-2.0955,0.2,10.00256,71.0,79.6977,939.5764,9.41,Snow fall: Slight
2003-01-22 21:00:00+00:00,TOKAT,60,6.5545,0.50450015,3.4000003,9.178235,73.0,88.89033,940.8601,6.23,Snow fall: Moderate
2003-01-23 21:00:00+00:00,TOKAT,60,9.3545,-2.6454997,0.0,7.754637,3.0,83.678566,942.0053,8.92,Overcast
